symbol,entry_date,ml_rank,regime,signals_aligned,insider_confirmed,vix_rising,vix,equity_return,call_cost,call_pnl,call_return,kelly_fraction,kelly_weighted_pnl
DLR,2020-06-09,0.8827930174563591,TRENDING_BULL,2,False,True,27.56999969482422,0.0030393550152377586,6.709609498808957,-0.7845776279941656,-0.1169334263243544,0.2,-0.02338668526487088
CMG,2020-06-09,0.9077306733167082,TRENDING_BULL,2,False,True,27.56999969482422,-0.00029826692329916064,0.9859256474595642,-0.18116083360066426,-0.1837469529953517,0.2,-0.03674939059907034
AMT,2020-06-09,0.8503740648379052,TRENDING_BULL,2,False,True,27.56999969482422,-0.00474115637915655,12.60351950646765,-2.3615788847386803,-0.18737455704549885,0.2,-0.037474911409099775
TEAM,2020-06-09,0.8528678304239401,TRENDING_BULL,2,False,True,27.56999969482422,0.05065119790818999,8.23003691361599,7.620134399976571,0.9258931010831336,0.2,0.18517862021662673
FTNT,2020-06-09,0.9825436408977556,TRENDING_BULL,2,False,True,27.56999969482422,0.00846084248481555,1.2891859642776355,0.0023355275691621102,0.0018116296902679725,0.2,0.00036232593805359453
SBAC,2020-06-10,0.9476309226932668,TRENDING_BULL,2,False,True,27.56999969482422,-0.05994383377828997,14.51756919026986,-3.3745705505964203,-0.23244735439994774,0.2,-0.04648947087998955
ITW,2020-06-11,0.85785536159601,TRENDING_BULL,2,False,True,40.790000915527344,0.035054844155168685,11.589116390707519,3.9950716114023717,0.34472616174652737,0.2,0.06894523234930548
LOW,2020-07-24,0.9029850746268656,TRENDING_BULL,2,False,True,25.84000015258789,0.039107665427047876,6.535275660715368,4.759434256716003,0.7282683246746202,0.2,0.14565366493492404
SHOP,2020-08-19,0.9429280397022332,TRENDING_BULL,2,False,True,22.540000915527344,0.06488882598537947,3.9125319603409827,6.037325358932069,1.5430737486949264,0.2,0.3086147497389853
CELH,2020-08-20,0.9900744416873448,TRENDING_BULL,2,False,True,22.719999313354492,-0.18531475002313327,0.29806332723402357,-0.09979526183630569,-0.33481227886163845,0.2,-0.06696245577232769
MS,2020-08-19,0.8808933002481389,TRENDING_BULL,2,False,True,22.540000915527344,0.03659725729424416,1.9917229680001196,1.5740288341214577,0.7902850242782173,0.2,0.15805700485564347
NEM,2020-08-19,0.9255583126550868,TRENDING_BULL,2,False,True,22.540000915527344,0.02349189668842898,2.558183586668571,1.1296286433876146,0.44157450203122,0.2,0.08831490040624401
MRVL,2020-08-21,0.9230769230769232,TRENDING_BULL,2,False,True,22.540000915527344,0.11655713187657345,1.2973145818860936,3.7854033468355843,2.9178762034202967,0.2,0.5835752406840594
NVDA,2020-09-01,0.9181141439205956,TRENDING_BULL,2,False,True,26.1200008392334,-0.0945300937341575,0.6209806994153994,-0.1618815442961119,-0.2606869174009911,0.2,-0.052137383480198224
SMCI,2020-08-27,0.9627791563275434,TRENDING_BULL,2,False,True,24.469999313354492,-0.018738059126895665,0.11007054009173156,-0.021882351411552287,-0.19880298028260585,0.2,-0.03976059605652117
TJX,2020-09-02,0.8560794044665012,TRENDING_BULL,3,True,True,26.56999969482422,-0.013925628801374771,2.592804519243593,-0.5052692735976256,-0.19487364737586518,0.3,-0.05846209421275955
BE,2020-09-24,0.9900744416873448,CHOPPY,2,False,True,28.510000228881836,0.4113621713748218,0.7164945182340992,6.119175162842928,8.540435421508164,0.2,1.708087084301633
TSLA,2020-09-24,0.9875930521091812,CHOPPY,2,False,True,28.510000228881836,0.09832634550927934,6.339252153265332,12.055651983134478,1.9017467189603183,0.2,0.3803493437920637
BE,2020-10-05,1.0,CHOPPY,2,False,True,27.959999084472656,0.03502818673222486,0.8512867689283661,0.48813203677218,0.5734049377822001,0.2,0.11468098755644003
IRTC,2020-10-06,0.9753086419753086,CHOPPY,2,False,True,29.479999542236328,-0.046581170497796594,11.86612107653763,-2.6287823198793934,-0.22153678551933637,0.2,-0.044307357103867274
DXCM,2020-10-07,0.9310344827586208,CHOPPY,2,False,True,28.059999465942383,-0.01518462971690752,4.752158184652364,-0.9309554741280874,-0.19590161731878247,0.2,-0.039180323463756495
ROST,2020-10-15,0.9285714285714286,TRENDING_BULL,2,False,True,26.969999313354492,-0.09564408300374928,4.462480349056953,-1.167369177402314,-0.26159648583080297,0.2,-0.0523192971661606
CRM,2020-10-15,0.8891625615763546,TRENDING_BULL,3,True,True,26.969999313354492,-0.07985411195707172,11.956236737875981,-2.9735642419101964,-0.24870402845824283,0.3,-0.07461120853747284
AMZN,2020-10-15,0.913793103448276,TRENDING_BULL,2,False,True,26.969999313354492,-0.03823095390091926,7.744390894815374,-1.6628668015060422,-0.21471886221798014,0.2,-0.04294377244359603
FTNT,2020-10-15,0.9014778325123152,TRENDING_BULL,2,False,True,26.969999313354492,-0.10436432486482616,1.2224384646583115,-0.3284894266342189,-0.26871653349523505,0.2,-0.05374330669904701
INTU,2020-10-15,0.9458128078817734,TRENDING_BULL,2,False,True,26.969999313354492,-0.04784050007527437,15.86479230358631,-3.5309478768456337,-0.22256502381360813,0.2,-0.04451300476272163
LRCX,2020-10-19,0.9359605911330048,TRENDING_BULL,2,False,True,29.18000030517578,-0.03471125992036968,1.8248986891235013,-0.3865957433063314,-0.2118450441169495,0.2,-0.0423690088233899
MS,2020-12-10,0.9606879606879608,TRENDING_BULL,2,False,True,22.520000457763672,0.056641740505879515,2.4962575345216544,3.3073684919188198,1.3249307998794262,0.2,0.26498615997588526
LOW,2020-12-10,0.9705159705159704,TRENDING_BULL,2,False,True,22.520000457763672,0.015915634953997924,6.20655447044581,1.4917336429634398,0.2403481110279034,0.2,0.048069622205580684
SCHW,2020-12-11,0.9164619164619164,TRENDING_BULL,2,False,True,23.309999465942383,0.0710094740008665,1.981975684987598,3.261211960661073,1.6454348988047651,0.2,0.329086979760953
AXP,2020-12-22,0.8501228501228502,TRENDING_BULL,3,True,True,24.229999542236328,0.06206896919189975,4.7743467379275355,6.475851261251604,1.356384782405365,0.3,0.40691543472160946
ORCL,2021-01-06,0.8602941176470589,TRENDING_BULL,2,False,True,25.06999969482422,-0.02173566592591915,2.6982732446944535,-0.5430288827632093,-0.20125051598497418,0.2,-0.04025010319699484
NET,2021-01-05,0.9411764705882352,TRENDING_BULL,2,False,True,25.34000015258789,0.111392105597157,3.275240879003765,8.066872175513602,2.4629859218071664,0.2,0.4925971843614333
INTU,2021-01-06,0.9852941176470588,TRENDING_BULL,2,False,True,25.06999969482422,0.0574792243767313,15.567790412108204,18.62387839157531,1.196308396925113,0.2,0.2392616793850226
PLD,2021-02-18,0.9681372549019608,TRENDING_BULL,2,False,True,22.489999771118164,-0.09585932602253938,4.092215106087164,-1.071228278133011,-0.2617722310197136,0.2,-0.05235444620394272
WSM,2021-03-08,0.9607843137254902,TRENDING_BULL,2,False,True,25.469999313354492,0.3687172649881263,2.880866561622956,24.583657158776315,8.533424451609083,0.2,1.7066848903218166
PCG,2021-03-23,0.9509803921568628,CHOPPY,2,False,True,20.299999237060547,0.03846154517944726,0.38131519212292786,0.36200215037230465,0.9493515019868469,0.2,0.1898703003973694
MPWR,2021-03-08,1.0,TRENDING_BULL,2,False,True,25.469999313354492,0.15292171596797358,13.233453670719364,45.41394824270335,3.4317532953009287,0.2,0.6863506590601858
MO,2021-03-08,0.9852941176470588,TRENDING_BULL,2,False,True,25.469999313354492,0.10106604924424262,2.054789016494818,4.532498415306742,2.2058218040500086,0.2,0.44116436081000177
PINS,2021-03-24,0.9975490196078431,CHOPPY,2,False,True,21.200000762939453,0.23534490290115406,2.5381106543291714,16.401971950027146,6.462276150982955,0.2,1.292455230196591
BA,2021-04-20,0.9485294117647058,TRENDING_BULL,2,False,True,18.68000030517578,-0.0018371045042568932,7.52089491653353,-1.3913911954225586,-0.18500340861880668,0.2,-0.037000681723761336
GS,2021-05-04,0.8774509803921569,TRENDING_BULL,3,True,True,19.479999542236328,0.042076381702468094,11.722597340012568,12.971596960066586,1.1065463210777382,0.3,0.33196389632332146
GE,2021-05-05,0.928921568627451,TRENDING_BULL,2,False,True,19.149999618530273,-0.009084066023966157,2.168836589425812,-0.41407542662921437,-0.19092052792176412,0.2,-0.038184105584352826
AVAV,2021-05-05,0.9926470588235294,TRENDING_BULL,2,False,True,19.149999618530273,-0.006844850881286132,3.5131369602535476,-0.6643068543795985,-0.1890922164138043,0.2,-0.037818443282760864
NXPI,2021-05-11,0.9534313725490196,TRENDING_BULL,2,False,True,21.84000015258789,0.06346734001669466,7.233342590201992,11.267496202077325,1.5577163754610273,0.2,0.3115432750922055
ORCL,2021-06-03,0.8774509803921569,CHOPPY,2,False,True,18.040000915527344,-0.04353186507233107,2.516339770062137,-0.5511967733978769,-0.21904703806523948,0.2,-0.0438094076130479
SNPS,2021-05-17,0.9779411764705882,TRENDING_BULL,2,False,True,19.719999313354492,0.0755085056110964,8.005424093858995,16.844538533774536,2.1041406846510573,0.2,0.4208281369302115
NRG,2021-06-18,0.982843137254902,TRENDING_BULL,2,False,True,20.700000762939453,0.12557757045161907,1.309982836758229,4.513929933162285,3.4457931863693405,0.2,0.6891586372738682
LLY,2021-07-07,0.8655256723716381,TRENDING_BULL,2,False,True,16.200000762939453,0.006233508253152762,6.571448807466759,0.29754893420684514,0.045279046208007795,0.2,0.00905580924160156
JNJ,2021-07-07,0.8508557457212714,TRENDING_BULL,2,False,True,16.200000762939453,0.0004722379394681572,4.72084272734214,-0.7844686846465363,-0.16617132362894801,0.2,-0.0332342647257896
MRK,2021-07-07,0.8533007334963325,TRENDING_BULL,2,False,True,16.200000762939453,-0.027622177143358812,2.1891823689125687,-0.4510959841942188,-0.2060568322676066,0.2,-0.041211366453521324
BMY,2021-07-07,0.8704156479217604,TRENDING_BULL,2,False,True,16.200000762939453,0.00029794865419706477,1.870948414974085,-0.32286600538247967,-0.17256809583761387,0.2,-0.034513619167522776
NVDA,2021-07-14,0.9633251833740832,TRENDING_BULL,2,False,True,16.329999923706055,-0.017060155767851505,0.5573475737172987,-0.11003879121929372,-0.1974329779268193,0.2,-0.03948659558536386
ADBE,2021-07-28,0.9119804400977995,TRENDING_BULL,2,False,True,18.309999465942383,0.008229798568840948,19.556422623866577,1.6527873546822853,0.0845137879493988,0.2,0.01690275758987976
APA,2021-09-30,1.0,CHOPPY,2,False,True,23.13999938964844,0.22351838263958534,0.8530038000307764,4.789144789809979,5.614447191955284,0.2,1.1228894383910568
ADBE,2021-10-27,0.8963855421686747,CHOPPY,2,False,True,16.979999542236328,0.011592273953327865,18.695513091732668,4.16624634099146,0.2228473923421665,0.2,0.0445694784684333
MPWR,2021-11-19,0.9662650602409638,CHOPPY,2,False,True,17.90999984741211,-0.10580280550549727,17.57863724879067,-4.74431682984082,-0.26989104802007374,0.2,-0.053978209604014754
BNTX,2021-11-26,0.9951807228915662,CHOPPY,2,False,True,28.6200008392334,-0.25954025093166305,17.132247178145562,-6.7743842935331156,-0.395417146571101,0.2,-0.0790834293142202
FTNT,2021-11-24,0.9686746987951808,CHOPPY,2,False,True,18.579999923706055,-0.05047416419567241,2.1300916599088637,-0.47866440272289745,-0.2247154015632253,0.2,-0.044943080312645066
VRT,2021-11-11,0.927710843373494,TRENDING_BULL,2,False,True,17.65999984741211,-0.03445693071181249,0.8110869517022573,-0.17165632161815447,-0.21163738518773256,0.2,-0.04232747703754652
LLY,2021-11-10,0.9734939759036144,TRENDING_BULL,2,False,True,18.729999542236328,-0.010013202182505615,8.526584504617785,-1.6343685931882526,-0.19167916441842794,0.2,-0.03833583288368559
PFE,2021-11-10,0.946987951807229,TRENDING_BULL,2,False,True,18.729999542236328,0.03814767267283042,1.579343230527378,1.6293765545099606,1.0316798293211256,0.2,0.20633596586422512
TMO,2021-11-10,0.9301204819277108,TRENDING_BULL,2,False,True,18.729999542236328,0.009794874121681238,20.196390557085017,2.5954281827070425,0.12850950645716,0.2,0.025701901291432003
LPLA,2021-12-02,0.9662650602409638,CHOPPY,2,False,True,27.950000762939453,0.00043370964996879786,7.758843533184866,-1.351034670303993,-0.17412835618163544,0.2,-0.03482567123632709
STLD,2021-12-01,0.9686746987951808,CHOPPY,2,False,True,31.1200008392334,-0.0045693088012599544,3.163144533993377,-0.5922489757560823,-0.18723424408570585,0.2,-0.03744684881714117
QCOM,2021-11-11,0.9542168674698795,TRENDING_BULL,2,False,True,17.65999984741211,0.06884811732321748,4.994715779141381,10.684234114915586,2.1391075263049832,0.2,0.42782150526099666
PEP,2022-01-13,0.8857142857142857,TRENDING_BULL,2,False,True,20.309999465942383,-0.008669161616320895,6.0851827496434066,-1.159724837688497,-0.19058175989150977,0.2,-0.03811635197830196
KMB,2022-01-13,0.8547619047619047,TRENDING_BULL,3,True,True,20.309999465942383,-0.027783618431387082,4.992030060541771,-1.0292999315907734,-0.20618864852730198,0.3,-0.06185659455819059
META,2022-12-15,0.9474885844748858,CHOPPY,2,False,True,22.829999923706055,0.03607399704663941,4.5613203581462045,3.487327407361933,0.7645434070715524,0.2,0.1529086814143105
NU,2023-02-08,0.9795454545454544,TRENDING_BULL,2,False,True,19.6299991607666,-0.023952167048707437,0.16917004789173468,-0.034351717558673334,-0.20306028157335346,0.2,-0.04061205631467069
MSFT,2023-02-13,0.8909090909090909,TRENDING_BULL,2,False,True,20.34000015258789,-0.08071652868969455,9.492884951052648,-2.36760324186078,-0.24940818877176438,0.2,-0.04988163775435288
ROST,2023-02-08,0.8590909090909091,TRENDING_BULL,2,False,True,19.6299991607666,-0.02620316233711236,3.8659236600596376,-0.79212084385781,-0.20489821153002033,0.2,-0.040979642306004066
STLD,2023-02-24,0.9818181818181818,CHOPPY,2,False,True,21.670000076293945,0.015696207682291668,4.417155707805139,1.1060472608156973,0.250398069251058,0.2,0.050079613850211604
SMCI,2023-02-08,0.9613636363636364,TRENDING_BULL,2,False,True,19.6299991607666,0.10619569347015123,0.28775791121518374,0.8771462064026829,3.048208831856435,0.2,0.6096417663712871
FSLR,2023-02-08,0.9954545454545456,TRENDING_BULL,2,False,True,19.6299991607666,0.0,5.591053005984543,-1.025977342812479,-0.18350341907227402,0.2,-0.03670068381445481
MPLX,2023-03-17,0.8295454545454546,CHOPPY,2,False,True,25.510000228881836,0.025602876047778316,1.4739607328850837,0.6203364253759216,0.420863603443285,0.2,0.084172720688657
