symbol,entry_date,engine,side,regime,hold_days,ml_rank,opt_type,strike,sigma,entry_price,exit_price,equity_return,options_return,leverage,eq_pnl_1k,opt_pnl_1k,options_better
GS,2018-01-03,momentum,long,TRENDING_BULL,26,0.9190600522193212,30d_call_30DTE,251.6,0.11894999504089354,255.99095571899412,271.93505096435547,0.062283822491226895,2.0674826766559296,38.40722127964786,62.28382249122689,2067.48267665593,True
MCD,2018-01-10,momentum,long,TRENDING_BULL,22,0.9477806788511748,30d_call_30DTE,170.66,0.12765999603271488,173.847,168.8511026949829,-0.02873732250206854,-0.8833920117664971,36.092986438672234,-28.73732250206854,-883.3920117664971,False
MSFT,2018-01-09,momentum,long,TRENDING_BULL,27,0.8903394255874674,30d_call_30DTE,87.16,0.13103999900817875,88.82730152893066,88.92257550124694,0.0010725753307416139,-0.2828586174511129,35.28596596969137,1.072575330741614,-282.85861745111293,False
EBAY,2018-01-10,momentum,long,TRENDING_BULL,26,0.9033942558746736,30d_call_30DTE,38.23,0.12765999603271488,38.94773892974853,42.700049608877,0.09634219552248337,3.1476382545954618,36.00360554717238,96.34219552248338,3147.638254595462,True
ROST,2018-01-11,momentum,long,TRENDING_BULL,25,0.9660574412532638,30d_call_30DTE,79.62,0.12844000148773194,81.1219190826416,79.45201320506177,-0.020585137734212545,-0.826184775313779,35.828847352793794,-20.58513773421254,-826.184775313779,False
ORCL,2018-01-23,momentum,long,TRENDING_BULL,13,0.8668407310704961,30d_call_30DTE,49.8,0.14430000495910647,50.8515,49.565373383804385,-0.025291812752733286,-0.6712471765161927,32.299324534951104,-25.291812752733282,-671.2471765161928,False
INTU,2018-01-23,momentum,long,TRENDING_BULL,13,0.8981723237597912,30d_call_30DTE,165.85,0.14430000495910647,169.338,160.56166298045588,-0.051827333614097935,-0.9278344747877522,32.358763802164624,-51.82733361409793,-927.8344747877521,False
BLK,2018-01-31,momentum,long,TRENDING_BULL,5,0.9007832898172324,30d_call_30DTE,551.86,0.17601999950408936,565.939617553711,528.4105724886465,-0.06631280776434198,-0.8927300554627955,27.052297725637768,-66.31280776434198,-892.7300554627955,False
ADBE,2018-02-02,momentum,long,TRENDING_BULL,4,0.9007832898172324,30d_call_30DTE,191.55,0.225029993057251,197.7246618347168,183.61447146390597,-0.07136282464655783,-0.8302646835156173,21.6784748265825,-71.36282464655783,-830.2646835156174,False
T,2018-02-06,momentum,short,,7,0.0339425587467362,30d_put_30DTE,25.86,0.3897399940490723,27.250755310058594,27.698792106628417,-0.01644126158970895,-0.18172782006496754,46.434148714052476,-16.44126158970895,-181.72782006496755,False
CNK,2018-02-06,momentum,short,,7,0.0757180156657963,30d_put_30DTE,34.16,0.3897399940490723,36.0,38.22630152893066,-0.06184170913696284,-0.5815891720199411,46.4876827751155,-61.84170913696284,-581.5891720199411,False
TMHC,2018-02-13,meanrev,long,CHOPPY,1,0.9817232375979112,ATM_call_21DTE,23.69,0.32460999107360844,23.690000534057617,24.3911205329895,0.029595609249730804,0.44177506789408183,31.07338586015231,29.595609249730806,441.7750678940819,True
ANET,2018-02-13,momentum,long,CHOPPY,3,0.9843342036553524,30d_call_30DTE,17.07,0.32460999107360844,17.848125,17.082172845045577,-0.04291499274878583,-0.4230296104218714,15.551949213118963,-42.91499274878583,-423.0296104218714,False
PANW,2018-01-30,momentum,long,TRENDING_BULL,22,0.8511749347258486,30d_call_30DTE,25.33,0.19226999950408938,26.02862073898315,27.34519961929321,0.05058196873022229,0.9619113286081398,25.058886298609956,50.581968730222286,961.9113286081398,True
PHM,2018-02-23,meanrev,long,CHOPPY,3,0.9921875,ATM_call_21DTE,29.23,0.21436999702453613,29.229999542236328,29.281320152282714,0.0017557513120117895,-0.12191083073950854,46.17349694648305,1.7557513120117896,-121.91083073950853,False
TTD,2018-02-28,meanrev,long,CHOPPY,1,0.9921875,ATM_call_21DTE,5.58,0.25805000495910646,5.577000141143799,5.614747927665711,0.006768475088144833,0.025506465069157793,39.125755995214284,6.768475088144832,25.50646506915779,True
NVDA,2018-02-21,momentum,long,CHOPPY,9,0.9505208333333334,30d_call_30DTE,6.08,0.26026000595092774,6.304834656715393,5.686832214711443,-0.09802040428541677,-0.9004939654707438,19.00827712502984,-98.02040428541676,-900.4939654707438,False
NVR,2018-02-23,meanrev,long,CHOPPY,10,0.9947916666666666,ATM_call_21DTE,3090.0,0.21436999702453613,3090.0,2885.5773872070313,-0.06615618536989279,-0.9875753881626876,46.17348003855558,-66.15618536989278,-987.5753881626878,False
PSTG,2018-03-07,meanrev,long,CHOPPY,2,0.9635416666666666,ATM_call_21DTE,20.26,0.23088000297546388,20.260000228881836,20.938039543151856,0.033466895686577264,0.8072960485848716,43.04131812901,33.46689568657726,807.2960485848715,True
PHM,2018-03-09,meanrev,long,CHOPPY,1,0.9973958333333334,ATM_call_21DTE,29.7,0.1903200044631958,29.700000762939453,29.97992091369629,0.009424920658794382,0.1632927248521603,51.64758257456165,9.424920658794383,163.2927248521603,True
VST,2018-03-13,meanrev,long,CHOPPY,2,0.9921875,ATM_call_21DTE,20.59,0.21255000495910645,20.59000015258789,20.6486205329895,0.0028470315671290706,-0.06946449852860821,46.5468487265849,2.8470315671290707,-69.46449852860822,False
NOW,2018-02-23,momentum,long,CHOPPY,26,0.9661458333333334,30d_call_30DTE,30.5,0.21436999702453613,31.434743740081785,34.568724487304685,0.09969798936922226,1.9473051972681075,22.696155943770822,99.69798936922226,1947.3051972681076,True
CME,2018-03-12,momentum,long,CHOPPY,11,0.8984375,30d_call_30DTE,166.55,0.2051399965286255,171.47226489257812,159.48254680861317,-0.06992220048808553,-0.8769468740643201,23.556752466247683,-69.92220048808554,-876.9468740643201,False
