symbol,earnings_date,entry_date,beat_streak,surprise,entry_price,exit_price,mom_60d,above_sma200,vix_at_entry,equity_return,call_cost,call_pnl,call_return,hold_days
THC,2025-09-30,2025-09-10,4,0.105299994,191.77999877929688,201.33999633789065,0.14360200991463257,True,15.350000381469728,0.049848772653271096,4.7262198977629515,5.3229634153925085,1.1262623260318487,21
THC,2025-12-31,2025-12-11,4,0.15619999,197.7100067138672,199.4499969482422,0.03752978188136363,True,14.850000381469728,0.008800719110253102,4.713650063385419,-2.5316625536634594,-0.5370917483520571,22
AA,2025-12-31,2025-12-11,4,0.2474,47.2400016784668,56.540000915527344,0.30736663721123997,True,14.850000381469728,0.1968670386669297,1.1262598216806103,8.299036616358398,7.368669694684248,22
DRVN,2024-12-31,2024-12-11,4,0.62229997,17.170000076293945,16.020000457763672,0.1683168509307628,True,13.579999923706056,-0.0669772634490573,0.37434521545181165,-0.3418797685853942,-0.913274043512928,22
DRVN,2025-06-30,2025-06-10,4,0.0725,17.81999969482422,18.059999465942383,0.019079694635833408,True,16.950000762939453,0.013468000854560704,0.484930652188496,-0.19647764254256755,-0.40516647412544937,21
DRVN,2025-09-30,2025-09-10,4,0.1362,18.270000457763672,15.84000015258789,0.066776200883164,True,15.350000381469728,-0.13300493947952666,0.4502452823299444,-0.4117596234055401,-0.9145229046593284,21
CMA,2025-09-30,2025-09-10,4,0.1586,69.25,69.08999633789062,0.1989891520476083,True,15.350000381469728,-0.0023105221965252706,1.7065946918517567,-1.5387301711109547,-0.9016377341718677,21
CMA,2025-12-31,2025-12-11,4,0.1698,89.87999725341797,88.6500015258789,0.21740099591273934,True,14.850000381469728,-0.01368486610064163,2.1428498324002114,-1.9463942809663832,-0.9083204298950908,22
KO,2025-03-31,2025-03-11,4,0.0195,71.04000091552734,71.87000274658203,0.11824326319853555,True,26.920000076293945,0.011683584182968,3.070295932734198,-1.9340568117174521,-0.6299252104975795,21
KO,2025-06-30,2025-06-10,4,0.039300002,72.3499984741211,71.66999816894531,0.030822332751488733,True,16.950000762939453,-0.009398760463264016,1.9688402102544658,-1.7765565104064636,-0.9023365640103672,21
SNOW,2025-07-31,2025-07-11,4,0.31350002,210.83999633789065,205.02000427246097,0.3049706135865755,True,16.399999618530273,-0.027603833079671517,5.5513557598823615,-5.019155072946498,-0.904131403218312,21
SNOW,2025-10-31,2025-10-10,4,0.1249,242.1699981689453,277.1400146484375,0.10438947421414589,True,21.65999984741211,0.14440276146467995,8.421336279058652,27.324475975066285,3.2446722312958927,24
BK,2025-03-31,2025-03-11,4,0.059299998,81.05000305175781,83.7699966430664,0.01702658643863642,True,26.920000076293945,0.033559450819164435,3.502920770141985,-0.4259841459722522,-0.12160827318825874,21
BK,2025-06-30,2025-06-10,4,0.1009,90.0,90.6500015258789,0.0842222425672743,True,16.950000762939453,0.007222239176432292,2.4491447499654493,-1.5559380039115034,-0.6352985073395329,21
