symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,reason,hold_days,regime,year
SNAP,2018-05-08,2018-05-24,10.991940267562866,10.578800380706788,683,-282.174542722701,regime_exit,16,CHOPPY,2018
INCY,2018-05-08,2018-05-24,62.99573892974853,66.53665817260742,119,421.3693899002072,regime_exit,16,CHOPPY,2018
IAC,2018-05-08,2018-05-24,24.692709926605225,27.121505828857423,304,738.353954284668,regime_exit,16,CHOPPY,2018
DOCU,2018-06-29,2018-07-19,53.055900764465335,52.25528060913086,141,-112.88744190216141,max_hold,20,CHOPPY,2018
ARCB,2018-06-29,2018-07-19,45.79140076446533,46.606600761413574,164,133.69279949951212,max_hold,20,CHOPPY,2018
IONS,2018-06-29,2018-07-19,41.7533381652832,45.748320152282716,179,715.1017756729127,max_hold,20,CHOPPY,2018
SNAP,2018-10-16,2018-10-24,7.2645,6.576820152282715,1034,-711.0609625396727,stop,8,CHOPPY,2018
STX,2018-10-16,2018-10-26,44.19822061157227,38.722399238586426,170,-930.889633407593,stop,10,CHOPPY,2018
WERN,2018-10-16,2018-11-05,33.68723892974854,32.983899238586424,223,-156.8447511291514,max_hold,20,CHOPPY,2018
PENN,2018-10-24,2018-11-08,23.7874797706604,21.646620532989502,315,-674.3706598663331,stop,15,CHOPPY,2018
WDC,2018-10-26,2018-11-15,33.46816227722168,35.250596992492675,224,399.2653762207028,max_hold,20,CHOPPY,2018
ZG,2018-11-08,2018-11-19,29.619119464874267,26.946,253,-676.299224613189,stop,11,CHOPPY,2018
ALGN,2018-11-15,2018-11-19,223.2155442810059,204.02113269042968,33,-633.4155824890149,stop,4,CHOPPY,2018
ESTC,2018-11-05,2018-11-26,64.629,67.93385969543456,116,383.36372467040877,max_hold,21,CHOPPY,2018
ZG,2018-11-19,2018-11-26,27.054,32.50485969543457,277,1509.8881356353759,take_profit,7,CHOPPY,2018
NVDA,2018-11-19,2018-11-27,3.6247350668907163,3.835563536167145,2073,437.0474168100365,regime_exit,8,CHOPPY,2018
ZG,2018-11-26,2018-11-27,32.63513969421387,33.063741065979,230,98.57831550598057,regime_exit,1,CHOPPY,2018
FTNT,2018-11-26,2018-11-27,14.196336221694944,14.111720342636108,529,-44.761800022124156,regime_exit,1,CHOPPY,2018
MRNA,2019-01-28,2019-02-06,14.478899808883668,18.103719390869145,519,1881.2813630504627,take_profit,9,CHOPPY,2019
XPO,2019-02-06,2019-02-15,20.55362132263184,17.938081481933594,365,-954.6720418548601,stop,9,CHOPPY,2019
