symbol,ml_score,px,vol60,candidate,regime,date,rank
ES,0.476,68.11,0.246,False,CHOPPY,2026-03-26,345
MSCI,0.4758,533.04,0.336,False,CHOPPY,2026-03-26,346
XYL,0.4755,120.91,0.29,False,CHOPPY,2026-03-26,347
PEP,0.4755,151.94,0.222,False,CHOPPY,2026-03-26,348
CRM,0.4753,184.15,0.419,False,CHOPPY,2026-03-26,349
TGT,0.4752,117.18,0.304,False,CHOPPY,2026-03-26,350
FFIV,0.4751,297.81,0.377,False,CHOPPY,2026-03-26,351
MAS,0.475,60.3,0.362,False,CHOPPY,2026-03-26,352
ZIM,0.4749,26.61,0.693,False,CHOPPY,2026-03-26,353
XOM,0.4748,164.95,0.27,False,CHOPPY,2026-03-26,354
HAL,0.4747,39.73,0.367,False,CHOPPY,2026-03-26,355
REXR,0.4746,33.36,0.251,False,CHOPPY,2026-03-26,356
NFLX,0.4744,92.27,0.404,False,CHOPPY,2026-03-26,357
PPG,0.4743,105.6,0.331,False,CHOPPY,2026-03-26,358
COP,0.4743,133.44,0.305,False,CHOPPY,2026-03-26,359
CDNS,0.4743,280.27,0.432,False,CHOPPY,2026-03-26,360
CRWD,0.4742,391.05,0.511,False,CHOPPY,2026-03-26,361
EQIX,0.4739,966.03,0.299,False,CHOPPY,2026-03-26,362
UNP,0.4738,238.97,0.237,False,CHOPPY,2026-03-26,363
DLR,0.4734,176.05,0.232,False,CHOPPY,2026-03-26,364
HPQ,0.4733,19.8,0.323,False,CHOPPY,2026-03-26,365
TXT,0.4733,89.75,0.29,False,CHOPPY,2026-03-26,366
CI,0.4733,271.56,0.259,False,CHOPPY,2026-03-26,367
WMB,0.4732,74.25,0.216,False,CHOPPY,2026-03-26,368
TSN,0.4731,63.34,0.247,False,CHOPPY,2026-03-26,369
NBIX,0.473,132.32,0.316,False,CHOPPY,2026-03-26,370
VMC,0.4729,267.39,0.334,False,CHOPPY,2026-03-26,371
AMR,0.4729,218.18,0.531,False,CHOPPY,2026-03-26,372
JAZZ,0.4728,189.88,0.378,False,CHOPPY,2026-03-26,373
WM,0.4725,226.37,0.196,False,CHOPPY,2026-03-26,374
TRMB,0.4724,65.48,0.325,False,CHOPPY,2026-03-26,375
ITW,0.4719,262.41,0.242,False,CHOPPY,2026-03-26,376
APA,0.4717,43.15,0.441,False,CHOPPY,2026-03-26,377
EPD,0.4713,39.45,0.2,False,CHOPPY,2026-03-26,378
ODFL,0.4708,188.94,0.472,False,CHOPPY,2026-03-26,379
COST,0.4707,982.56,0.201,False,CHOPPY,2026-03-26,380
AES,0.4706,14.02,0.495,False,CHOPPY,2026-03-26,381
DVN,0.4705,51.78,0.33,False,CHOPPY,2026-03-26,382
EQR,0.4703,59.44,0.222,False,CHOPPY,2026-03-26,383
IART,0.4698,9.79,0.457,False,CHOPPY,2026-03-26,384
EW,0.4696,83.28,0.265,False,CHOPPY,2026-03-26,385
BIIB,0.4696,190.85,0.362,False,CHOPPY,2026-03-26,386
MDLZ,0.4695,58.25,0.273,False,CHOPPY,2026-03-26,387
MDT,0.4695,88.27,0.205,False,CHOPPY,2026-03-26,388
CDW,0.4694,121.27,0.361,False,CHOPPY,2026-03-26,389
MAA,0.4689,122.71,0.195,False,CHOPPY,2026-03-26,390
SKY,0.4684,74.36,0.452,False,CHOPPY,2026-03-26,391
DE,0.4683,581.5,0.377,False,CHOPPY,2026-03-26,392
PCRX,0.4682,23.84,0.479,False,CHOPPY,2026-03-26,393
NDAQ,0.4682,83.69,0.327,False,CHOPPY,2026-03-26,394
NI,0.468,45.66,0.173,False,CHOPPY,2026-03-26,395
