symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,reason,ml_rank_pct,rule_score,combined_score,side
PM,2022-01-20,2022-02-01,101.11052755737306,103.198375,235,489.4691490173304,max_hold,0.9282051282051282,0.34971597490475476,1.0,long
PINS,2022-01-21,2022-02-03,31.459999084472656,24.522255228996276,635,4402.292348227502,short_take_profit,0.002564102564102564,-0.24003940097899465,0.0,short
SCHW,2022-01-25,2022-02-07,87.31363164138794,93.09342938995361,320,1847.9352795410146,max_hold,0.9411764705882353,0.405240159888184,1.0,long
MRK,2022-02-03,2022-02-08,81.69082652664184,76.55415676496332,240,-1234.0007428028446,stop,0.8341836734693877,0.44321619544354474,0.954104310800164,long
PNW,2022-01-26,2022-02-10,70.98999786376953,68.72434744262695,281,635.2427683410654,short_max_hold,0.0025575447570332483,0.11938667884706863,0.014240458166036786,short
NRG,2022-02-03,2022-02-15,39.319649236679076,38.930525762557984,605,-238.44470184326084,max_hold,0.8954081632653061,0.3718155312932384,1.0,long
SHOP,2022-02-11,2022-02-17,89.21499633789062,66.033,224,5191.6471796875,short_take_profit,0.02544529262086514,-0.27802530720300467,0.0,short
LLY,2022-02-07,2022-02-22,242.5312086639404,239.01043988037108,115,-405.46341011047053,max_hold,0.951530612244898,0.19999665289413343,1.0,long
AXP,2022-02-08,2022-02-22,188.17404183197021,192.34378244018555,104,433.13302325439486,max_hold,0.8651399491094147,0.4589451746185674,1.0,long
PM,2022-02-09,2022-02-22,104.2921178627014,108.53570133972168,268,1135.9403718414353,max_hold,0.9592875318066157,0.3406394933823637,1.0,long
MO,2022-02-09,2022-02-22,50.58528137397766,51.25435877990723,387,256.9979560947438,max_hold,0.8091603053435115,0.39704681063355407,0.9822884589499432,long
FTNT,2022-02-23,2022-02-24,60.12004515266418,55.667353205261236,465,-2072.82675554237,stop,0.9491094147582697,0.22171149825673975,0.9771521297655502,long
PNW,2022-02-14,2022-03-01,69.19999694824219,69.85490969467163,289,-190.7147837181098,short_max_hold,0.007633587786259542,-0.08323003353923737,0.0,short
XOM,2022-02-23,2022-03-07,76.4982290840149,87.07644274520874,256,2706.7426972656235,max_hold,0.8447837150127226,0.42169349353702756,1.0,long
WERN,2022-02-18,2022-03-07,43.2599983215332,43.76187167930603,462,-234.17549129104736,short_max_hold,0.043256997455470736,-0.11189229920375697,0.027742067789547967,short
