symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,reason,hold_days,year
ANF,2016-04-08 00:00:00,2016-04-15 00:00:00,28.657200382232666,28.45298022842407,437,-89.24420721435622,max_hold,7,2016
ODFL,2016-04-08 00:00:00,2016-04-15 00:00:00,22.394700382232667,23.053800380706786,559,368.4368991470324,rsi_exit,7,2016
EL,2016-05-18 00:00:00,2016-05-25 00:00:00,90.681,91.8559209136963,138,162.13908609008905,max_hold,7,2016
PEG,2016-05-18 00:00:00,2016-05-25 00:00:00,44.418661834716794,43.70242091369629,281,-201.26369880676245,max_hold,7,2016
EMR,2016-05-18 00:00:00,2016-05-25 00:00:00,50.90159923553467,51.98582015228271,246,266.718345520019,max_hold,7,2016
CMC,2016-05-18 00:00:00,2016-05-25 00:00:00,16.352639694213867,17.50492091369629,765,881.4951329040528,max_hold,7,2016
UPS,2016-05-19 00:00:00,2016-05-26 00:00:00,101.4925809173584,102.24509695434571,123,92.5594725494399,max_hold,7,2016
PPG,2016-05-20 00:00:00,2016-05-27 00:00:00,106.4224190826416,108.38279847717286,117,229.3643891601573,max_hold,7,2016
ES,2016-05-23 00:00:00,2016-05-31 00:00:00,54.26831984710693,55.129521675109864,230,198.07642044067464,max_hold,8,2016
PEG,2016-05-25 00:00:00,2016-06-01 00:00:00,43.8775809173584,44.94992091369629,285,305.6168989562981,max_hold,7,2016
HCA,2016-05-26 00:00:00,2016-06-02 00:00:00,77.35439694213868,78.82204335021973,161,236.29107170104936,rsi_exit,7,2016
MCD,2016-05-26 00:00:00,2016-06-02 00:00:00,124.0375809173584,120.92765817260744,100,-310.99227447509605,max_hold,7,2016
WELL,2016-05-27 00:00:00,2016-06-03 00:00:00,69.40853663635254,71.17735969543457,180,318.3881506347669,max_hold,7,2016
O,2016-05-27 00:00:00,2016-06-03 00:00:00,58.15872214508057,60.972769340515136,215,605.0201470184322,max_hold,7,2016
TSN,2016-05-27 00:00:00,2016-06-03 00:00:00,65.20013969421387,63.08357908630371,192,-406.37963671875195,max_hold,7,2016
PEP,2016-05-31 00:00:00,2016-06-06 00:00:00,101.37233816528321,102.49459695434572,123,138.03783105468915,regime_exit,6,2016
